batch_size,epochs,gpus,learning_rate,lr_scheduler_name,model_type,nodes,optimizer,strategy,test_loss,test_acc
64.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,rmsprop,fsdp1,0.12220947444438934,0.9688000082969666
64.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,adamw,fsdp1,0.10977363586425781,0.9677000045776367
128.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,rmsprop,fsdp1,0.12087298929691315,0.9672999978065491
64.0,10.0,4.0,0.0001,step,ResNet50,1.0,adamw,fsdp1,0.1151389628648758,0.9671000242233276
64.0,10.0,4.0,0.0001,step,ResNet50,1.0,adam,fsdp1,0.11952836811542511,0.9671000242233276
128.0,10.0,4.0,0.0001,step,ResNet50,1.0,adam,fsdp1,0.12219113856554031,0.9666000008583069
128.0,10.0,4.0,0.0001,step,ResNet50,1.0,rmsprop,fsdp1,0.1249803826212883,0.9666000008583069
64.0,10.0,4.0,0.0001,step,ResNet50,1.0,rmsprop,fsdp1,0.12445100396871567,0.9663000106811523
64.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,adam,fsdp1,0.12025275826454163,0.9660000205039978
128.0,10.0,4.0,0.0001,step,ResNet50,1.0,adamw,fsdp1,0.12062560766935349,0.9646999835968018
64.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,adamw,fsdp1,0.12935324013233185,0.9639999866485596
64.0,10.0,4.0,0.0001,none,ResNet50,1.0,adamw,fsdp1,0.14106376469135284,0.9639999866485596
64.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,adam,fsdp1,0.13435587286949158,0.9634000062942505
128.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,adam,fsdp1,0.1288043111562729,0.9632999897003174
128.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,adamw,fsdp1,0.12643861770629883,0.963100016117096
64.0,10.0,4.0,0.0001,none,ResNet50,1.0,adam,fsdp1,0.12486869096755981,0.963100016117096
128.0,10.0,4.0,0.0001,none,ResNet50,1.0,rmsprop,fsdp1,0.137114480137825,0.9617000222206116
128.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,adamw,fsdp1,0.14843960106372833,0.9613000154495239
128.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,adam,fsdp1,0.1412789523601532,0.9613000154495239
128.0,10.0,4.0,0.0001,none,ResNet50,1.0,adamw,fsdp1,0.15801063179969788,0.9605000019073486
128.0,10.0,4.0,0.0001,none,ResNet50,1.0,adam,fsdp1,0.15594471991062164,0.9598000049591064
128.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,rmsprop,fsdp1,0.1441492736339569,0.9595000147819519
64.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,rmsprop,fsdp1,0.15504090487957,0.954800009727478
64.0,10.0,4.0,0.0001,none,ResNet50,1.0,rmsprop,fsdp1,0.1807052195072174,0.9491000175476074
64.0,10.0,4.0,0.0001,none,ResNet50,1.0,sgd,fsdp1,0.8003547787666321,0.809499979019165
64.0,10.0,4.0,0.0001,reduce,ResNet50,1.0,sgd,fsdp1,0.7822596430778503,0.8076000213623047
64.0,10.0,4.0,0.0001,cosine,ResNet50,1.0,sgd,fsdp1,1.474304437637329,0.6984000205993652
64.0,10.0,4.0,0.0001,step,ResNet50,1.0,sgd,fsdp1,1.48746657371521,0.6800000071525574
128.0,10.0,4.0,0.0001,none,ResNet50,1.0,sgd,fsdp1,1.5691746473312378,0.670199990272522
128.0,10.0,4.0,0.0001,step,ResNet50,1.0,sgd,fsdp1,1.930001974105835,0.5633000135421753
